"","出生人數(登記日期)性別概況─按區域別分",,單位：人
"出生人數","出生人數(人)/ 區域別總計","男出生人數(人)/ 區域別總計","女出生人數(人)/ 區域別總計"
"95年 1月","16,477","8,664","7,813"
"95年 2月","16,264","8,483","7,781"
"95年 3月","17,524","9,135","8,389"
"95年 4月","15,126","7,918","7,208"
"95年 5月","16,757","8,873","7,884"
"95年 6月","16,558","8,748","7,810"
"95年 7月","16,340","8,653","7,687"
"95年 8月","17,311","8,979","8,332"
"95年 9月","16,864","8,841","8,023"
"95年 10月","18,927","9,796","9,131"
"95年 11月","18,957","9,900","9,057"
"95年 12月","17,354","8,946","8,408"
"96年 1月","18,224","9,442","8,782"
"96年 2月","13,496","7,150","6,346"
"96年 3月","18,490","9,730","8,760"
"96年 4月","15,448","8,028","7,420"
"96年 5月","16,463","8,647","7,816"
"96年 6月","14,687","7,745","6,942"
"96年 7月","16,737","8,692","8,045"
"96年 8月","18,109","9,456","8,653"
"96年 9月","14,863","7,777","7,086"
"96年 10月","19,233","10,018","9,215"
"96年 11月","19,311","10,046","9,265"
"96年 12月","19,353","10,167","9,186"
"97年 1月","18,323","9,590","8,733"
"97年 2月","16,065","8,373","7,692"
"97年 3月","16,114","8,439","7,675"
"97年 4月","15,549","8,229","7,320"
"97年 5月","15,309","8,067","7,242"
"97年 6月","14,429","7,545","6,884"
"97年 7月","16,063","8,435","7,628"
"97年 8月","14,866","7,732","7,134"
"97年 9月","16,048","8,389","7,659"
"97年 10月","18,740","9,821","8,919"
"97年 11月","20,388","10,548","9,840"
"97年 12月","16,839","8,769","8,070"
"98年 1月","13,469","7,080","6,389"
"98年 2月","17,159","8,811","8,348"
"98年 3月","20,773","10,743","10,030"
"98年 4月","10,597","5,572","5,025"
"98年 5月","12,646","6,516","6,130"
"98年 6月","16,157","8,469","7,688"
"98年 7月","16,297","8,560","7,737"
"98年 8月","14,699","7,718","6,981"
"98年 9月","16,170","8,406","7,764"
"98年 10月","17,574","9,005","8,569"
"98年 11月","17,556","9,103","8,453"
"98年 12月","18,213","9,509","8,704"
"99年 1月","15,603","8,230","7,373"
"99年 2月","12,364","6,399","5,965"
"99年 3月","15,750","8,285","7,465"
"99年 4月","13,371","7,004","6,367"
"99年 5月","12,902","6,784","6,118"
"99年 6月","12,722","6,646","6,076"
"99年 7月","12,668","6,656","6,012"
"99年 8月","13,761","7,164","6,597"
"99年 9月","13,637","7,099","6,538"
"99年 10月","13,487","6,996","6,491"
"99年 11月","15,406","8,091","7,315"
"99年 12月","15,215","7,859","7,356"
"100年 1月","14,703","7,560","7,143"
"100年 2月","12,270","6,440","5,830"
"100年 3月","17,524","9,028","8,496"
"100年 4月","15,089","7,849","7,240"
"100年 5月","16,206","8,418","7,788"
"100年 6月","15,866","8,232","7,634"
"100年 7月","15,887","8,329","7,558"
"100年 8月","16,797","8,636","8,161"
"100年 9月","18,003","9,383","8,620"
"100年 10月","17,136","8,948","8,188"
"100年 11月","18,443","9,523","8,920"
"100年 12月","18,703","9,597","9,106"
"101年 1月","15,296","7,955","7,341"
"101年 2月","17,500","9,171","8,329"
"101年 3月","19,283","9,940","9,343"
"101年 4月","17,405","8,957","8,448"
"101年 5月","18,542","9,527","9,015"
"101年 6月","19,482","10,192","9,290"
"101年 7月","16,897","8,806","8,091"
"101年 8月","19,615","10,020","9,595"
"101年 9月","18,908","9,831","9,077"
"101年 10月","23,398","12,163","11,235"
"101年 11月","21,953","11,425","10,528"
"101年 12月","21,202","10,861","10,341"
"102年 1月","21,982","11,336","10,646"
"102年 2月","15,666","8,071","7,595"
"102年 3月","16,880","8,684","8,196"
"102年 4月","15,506","8,160","7,346"
"102年 5月","16,223","8,519","7,704"
"102年 6月","13,963","7,211","6,752"
"102年 7月","16,221","8,445","7,776"
"102年 8月","15,318","7,879","7,439"
"102年 9月","15,750","8,097","7,653"
"102年 10月","17,521","9,138","8,383"
"102年 11月","16,632","8,592","8,040"
"102年 12月","17,451","8,988","8,463"
"103年 1月","15,716","8,310","7,406"
"103年 2月","15,357","7,851","7,506"
"103年 3月","17,588","9,053","8,535"
"103年 4月","17,507","9,007","8,500"
"103年 5月","15,658","8,109","7,549"
"103年 6月","16,420","8,502","7,918"
"103年 7月","17,658","9,198","8,460"
"103年 8月","16,566","8,574","7,992"
"103年 9月","18,624","9,617","9,007"
"103年 10月","20,027","10,294","9,733"
"103年 11月","18,109","9,416","8,693"
"103年 12月","21,153","10,886","10,267"
"104年 1月","18,192","9,527","8,665"
"104年 2月","14,933","7,679","7,254"
"104年 3月","19,384","10,041","9,343"
"104年 4月","16,586","8,602","7,984"
"104年 5月","16,271","8,515","7,756"
"104年 6月","17,203","8,934","8,269"
"104年 7月","17,530","9,145","8,385"
"104年 8月","16,836","8,813","8,023"
"104年 9月","17,106","8,814","8,292"
"104年 10月","20,004","10,477","9,527"
